x0,x1,y0,y1,v,a,r
103.0,247.0,20.0,56.0,-2.0,0.0,1.0
99.0,243.0,22.0,58.0,-1.0,0.0,1.0
95.0,239.0,23.0,59.0,0.0,0.0,1.0
91.0,235.0,23.0,59.0,1.0,0.0,1.0
87.0,231.0,22.0,58.0,2.0,0.0,1.0
83.0,227.0,20.0,56.0,3.0,0.0,1.0
79.0,223.0,17.0,53.0,4.0,0.0,1.0
75.0,219.0,13.0,49.0,5.0,0.0,1.0
71.0,215.0,8.0,44.0,6.0,0.0,1.0
67.0,211.0,2.0,38.0,7.0,0.0,1.0
63.0,207.0,-5.0,31.0,8.0,0.0,1.0
59.0,203.0,-13.0,23.0,9.0,0.0,1.0
55.0,199.0,-22.0,14.0,10.0,0.0,1.0
51.0,195.0,-32.0,4.0,10.0,0.0,1.0
47.0,191.0,-23.0,13.0,-9.0,1.0,1.0
43.0,187.0,-14.0,22.0,-8.0,0.0,1.0
39.0,183.0,-6.0,30.0,-7.0,0.0,1.0
35.0,179.0,1.0,37.0,-6.0,0.0,1.0
31.0,175.0,7.0,43.0,-5.0,0.0,1.0
27.0,171.0,12.0,48.0,-4.0,0.0,1.0
23.0,167.0,16.0,52.0,-3.0,0.0,1.0
19.0,163.0,19.0,55.0,-2.0,0.0,1.0
15.0,159.0,21.0,57.0,-1.0,0.0,1.0
11.0,155.0,22.0,58.0,0.0,0.0,1.0
7.0,151.0,22.0,58.0,1.0,0.0,1.0
3.0,147.0,21.0,57.0,2.0,0.0,1.0
143.0,0.0,55.0,0.0,3.0,0.0,1.0
139.0,0.0,52.0,0.0,4.0,0.0,1.0
135.0,287.0,48.0,70.0,5.0,0.0,1.0
131.0,283.0,43.0,65.0,6.0,0.0,1.0
127.0,279.0,37.0,59.0,7.0,0.0,1.0
123.0,275.0,30.0,52.0,8.0,0.0,1.0
119.0,271.0,22.0,44.0,9.0,0.0,1.0
115.0,267.0,13.0,35.0,10.0,0.0,1.0
111.0,263.0,3.0,25.0,10.0,0.0,1.0
107.0,259.0,-7.0,15.0,10.0,0.0,1.0
103.0,255.0,-17.0,5.0,10.0,0.0,1.0
99.0,251.0,-27.0,-5.0,10.0,0.0,1.0
95.0,247.0,-18.0,4.0,-9.0,1.0,1.0
91.0,243.0,-9.0,13.0,-8.0,0.0,1.0
87.0,239.0,-1.0,21.0,-7.0,0.0,1.0
83.0,235.0,6.0,28.0,-6.0,0.0,1.0
79.0,231.0,12.0,34.0,-5.0,0.0,1.0
75.0,227.0,17.0,39.0,-4.0,0.0,1.0
71.0,223.0,21.0,43.0,-3.0,0.0,1.0
67.0,219.0,24.0,46.0,-2.0,0.0,1.0
63.0,215.0,26.0,48.0,-1.0,0.0,1.0
59.0,211.0,27.0,49.0,0.0,0.0,1.0
55.0,207.0,27.0,49.0,1.0,0.0,1.0
51.0,203.0,26.0,48.0,2.0,0.0,1.0
